Price,Close,High,Low,Open,Volume
Ticker,000001.SS,000001.SS,000001.SS,000001.SS,000001.SS
Date,,,,,
2025-03-13,3358.72900390625,3377.117919921875,3341.117919921875,3371.094970703125,519000
2025-03-14,3419.5615234375,3421.2333984375,3360.606201171875,3361.68603515625,2431763952
